Date & Hour Ending,Hourly Price ($/kWh)
1/1/2020 12:00:00 AM,0.01955,
1/1/2020 1:00:00 AM,0.01886,
1/1/2020 2:00:00 AM,0.01827,
1/1/2020 3:00:00 AM,0.01790,
1/1/2020 4:00:00 AM,0.01784,
1/1/2020 5:00:00 AM,0.01796,
1/1/2020 6:00:00 AM,0.01771,
1/1/2020 7:00:00 AM,0.01855,
1/1/2020 8:00:00 AM,0.01926,
1/1/2020 9:00:00 AM,0.01907,
1/1/2020 10:00:00 AM,0.01973,
1/1/2020 11:00:00 AM,0.01968,
1/1/2020 12:00:00 PM,0.01914,
1/1/2020 1:00:00 PM,0.01868,
1/1/2020 2:00:00 PM,0.01833,
1/1/2020 3:00:00 PM,0.01807,
1/1/2020 4:00:00 PM,0.01780,
1/1/2020 5:00:00 PM,0.01928,
1/1/2020 6:00:00 PM,0.02308,
1/1/2020 7:00:00 PM,0.02294,
1/1/2020 8:00:00 PM,0.02255,
1/1/2020 9:00:00 PM,0.02127,
1/1/2020 10:00:00 PM,0.01939,
1/1/2020 11:00:00 PM,0.01851,
1/2/2020 12:00:00 AM,0.01795,
1/2/2020 1:00:00 AM,0.01755,
1/2/2020 2:00:00 AM,0.01755,
1/2/2020 3:00:00 AM,0.01728,
1/2/2020 4:00:00 AM,0.01753,
1/2/2020 5:00:00 AM,0.01753,
1/2/2020 6:00:00 AM,0.01651,
1/2/2020 7:00:00 AM,0.02584,
1/2/2020 8:00:00 AM,0.03495,
1/2/2020 9:00:00 AM,0.02874,
1/2/2020 10:00:00 AM,0.02654,
1/2/2020 11:00:00 AM,0.02455,
1/2/2020 12:00:00 PM,0.02241,
1/2/2020 1:00:00 PM,0.02125,
1/2/2020 2:00:00 PM,0.02099,
1/2/2020 3:00:00 PM,0.02071,
1/2/2020 4:00:00 PM,0.02109,
1/2/2020 5:00:00 PM,0.02335,
1/2/2020 6:00:00 PM,0.03030,
1/2/2020 7:00:00 PM,0.03179,
1/2/2020 8:00:00 PM,0.02905,
1/2/2020 9:00:00 PM,0.02544,
1/2/2020 10:00:00 PM,0.02269,
1/2/2020 11:00:00 PM,0.02046,
1/3/2020 12:00:00 AM,0.01912,
1/3/2020 1:00:00 AM,0.01736,
1/3/2020 2:00:00 AM,0.01708,
1/3/2020 3:00:00 AM,0.01697,
1/3/2020 4:00:00 AM,0.01706,
1/3/2020 5:00:00 AM,0.01729,
1/3/2020 6:00:00 AM,0.01806,
1/3/2020 7:00:00 AM,0.02168,
1/3/2020 8:00:00 AM,0.02436,
1/3/2020 9:00:00 AM,0.02455,
1/3/2020 10:00:00 AM,0.02462,
1/3/2020 11:00:00 AM,0.02549,
1/3/2020 12:00:00 PM,0.02455,
1/3/2020 1:00:00 PM,0.02366,
1/3/2020 2:00:00 PM,0.02327,
1/3/2020 3:00:00 PM,0.02216,
1/3/2020 4:00:00 PM,0.02156,
1/3/2020 5:00:00 PM,0.02300,
1/3/2020 6:00:00 PM,0.02678,
1/3/2020 7:00:00 PM,0.02555,
1/3/2020 8:00:00 PM,0.02355,
1/3/2020 9:00:00 PM,0.02264,
1/3/2020 10:00:00 PM,0.02123,
1/3/2020 11:00:00 PM,0.01958,
1/4/2020 12:00:00 AM,0.01874,
1/4/2020 1:00:00 AM,0.01830,
1/4/2020 2:00:00 AM,0.01827,
1/4/2020 3:00:00 AM,0.01760,
1/4/2020 4:00:00 AM,0.01749,
1/4/2020 5:00:00 AM,0.01739,
1/4/2020 6:00:00 AM,0.01820,
1/4/2020 7:00:00 AM,0.01870,
1/4/2020 8:00:00 AM,0.01996,
1/4/2020 9:00:00 AM,0.02154,
1/4/2020 10:00:00 AM,0.02384,
1/4/2020 11:00:00 AM,0.02447,
1/4/2020 12:00:00 PM,0.02313,
1/4/2020 1:00:00 PM,0.02204,
1/4/2020 2:00:00 PM,0.02062,
1/4/2020 3:00:00 PM,0.02009,
1/4/2020 4:00:00 PM,0.01990,
1/4/2020 5:00:00 PM,0.02130,
1/4/2020 6:00:00 PM,0.02598,
1/4/2020 7:00:00 PM,0.02522,
1/4/2020 8:00:00 PM,0.02199,
1/4/2020 9:00:00 PM,0.02217,
1/4/2020 10:00:00 PM,0.02081,
1/4/2020 11:00:00 PM,0.01925,
1/5/2020 12:00:00 AM,0.01773,
1/5/2020 1:00:00 AM,0.01917,
1/5/2020 2:00:00 AM,0.01835,
1/5/2020 3:00:00 AM,0.01796,
1/5/2020 4:00:00 AM,0.01809,
1/5/2020 5:00:00 AM,0.01802,
1/5/2020 6:00:00 AM,0.01773,
1/5/2020 7:00:00 AM,0.01885,
1/5/2020 8:00:00 AM,0.01914,
1/5/2020 9:00:00 AM,0.01926,
1/5/2020 10:00:00 AM,0.01917,
1/5/2020 11:00:00 AM,0.01889,
1/5/2020 12:00:00 PM,0.01831,
1/5/2020 1:00:00 PM,0.01789,
1/5/2020 2:00:00 PM,0.01731,
1/5/2020 3:00:00 PM,0.01728,
1/5/2020 4:00:00 PM,0.00963,
1/5/2020 5:00:00 PM,0.01152,
1/5/2020 6:00:00 PM,0.01875,
1/5/2020 7:00:00 PM,0.02154,
1/5/2020 8:00:00 PM,0.02178,
1/5/2020 9:00:00 PM,0.02108,
1/5/2020 10:00:00 PM,0.01802,
1/5/2020 11:00:00 PM,0.01655,
1/6/2020 12:00:00 AM,0.01548,
1/6/2020 1:00:00 AM,0.01444,
1/6/2020 2:00:00 AM,0.01413,
1/6/2020 3:00:00 AM,0.01417,
1/6/2020 4:00:00 AM,0.01496,
1/6/2020 5:00:00 AM,0.01543,
1/6/2020 6:00:00 AM,0.01862,
1/6/2020 7:00:00 AM,0.03055,
1/6/2020 8:00:00 AM,0.03798,
1/6/2020 9:00:00 AM,0.03172,
1/6/2020 10:00:00 AM,0.02661,
1/6/2020 11:00:00 AM,0.02548,
1/6/2020 12:00:00 PM,0.02309,
1/6/2020 1:00:00 PM,0.02168,
1/6/2020 2:00:00 PM,0.02140,
1/6/2020 3:00:00 PM,0.02126,
1/6/2020 4:00:00 PM,0.02137,
1/6/2020 5:00:00 PM,0.02347,
1/6/2020 6:00:00 PM,0.03238,
1/6/2020 7:00:00 PM,0.03092,
1/6/2020 8:00:00 PM,0.02961,
1/6/2020 9:00:00 PM,0.03076,
1/6/2020 10:00:00 PM,0.02480,
1/7/2020 12:00:00 AM,0.02053,
1/7/2020 1:00:00 AM,0.01697,
1/7/2020 2:00:00 AM,0.01650,
1/7/2020 3:00:00 AM,0.01594,
1/7/2020 4:00:00 AM,0.01555,
1/7/2020 5:00:00 AM,0.01593,
1/7/2020 6:00:00 AM,0.01802,
1/7/2020 7:00:00 AM,0.02541,
1/7/2020 8:00:00 AM,0.03840,
1/7/2020 9:00:00 AM,0.02724,
1/7/2020 10:00:00 AM,0.02640,
1/7/2020 11:00:00 AM,0.02653,
1/7/2020 12:00:00 PM,0.02497,
1/7/2020 1:00:00 PM,0.02338,
1/7/2020 2:00:00 PM,0.02282,
1/7/2020 3:00:00 PM,0.02247,
1/7/2020 4:00:00 PM,0.02219,
1/7/2020 5:00:00 PM,0.02308,
1/7/2020 6:00:00 PM,0.02784,
1/7/2020 7:00:00 PM,0.02676,
1/7/2020 8:00:00 PM,0.02614,
1/7/2020 9:00:00 PM,0.02520,
1/7/2020 10:00:00 PM,0.02273,
1/7/2020 11:00:00 PM,0.02114,
1/8/2020 12:00:00 AM,0.01963,
1/8/2020 1:00:00 AM,0.01953,
1/8/2020 2:00:00 AM,0.01953,
1/8/2020 3:00:00 AM,0.01935,
1/8/2020 4:00:00 AM,0.01926,
1/8/2020 5:00:00 AM,0.01969,
1/8/2020 6:00:00 AM,0.02134,
1/8/2020 7:00:00 AM,0.02684,
1/8/2020 8:00:00 AM,0.02855,
1/8/2020 9:00:00 AM,0.02680,
1/8/2020 10:00:00 AM,0.02458,
1/8/2020 11:00:00 AM,0.02341,
1/8/2020 12:00:00 PM,0.02237,
1/8/2020 1:00:00 PM,0.02140,
1/8/2020 2:00:00 PM,0.02111,
1/8/2020 3:00:00 PM,0.02090,
1/8/2020 4:00:00 PM,0.02107,
1/8/2020 5:00:00 PM,0.02302,
1/8/2020 6:00:00 PM,0.03097,
1/8/2020 7:00:00 PM,0.03150,
1/8/2020 8:00:00 PM,0.02355,
1/8/2020 9:00:00 PM,0.02119,
1/8/2020 10:00:00 PM,0.02038,
1/8/2020 11:00:00 PM,0.01695,
1/9/2020 12:00:00 AM,0.01441,
1/9/2020 1:00:00 AM,0.01645,
1/9/2020 2:00:00 AM,0.01495,
1/9/2020 3:00:00 AM,0.01372,
1/9/2020 4:00:00 AM,0.01254,
1/9/2020 5:00:00 AM,0.01263,
1/9/2020 6:00:00 AM,0.01539,
1/9/2020 7:00:00 AM,0.02400,
1/9/2020 8:00:00 AM,0.04111,
1/9/2020 9:00:00 AM,0.02521,
1/9/2020 10:00:00 AM,0.02321,
1/9/2020 11:00:00 AM,0.02292,
1/9/2020 12:00:00 PM,0.02075,
1/9/2020 1:00:00 PM,0.02037,
1/9/2020 2:00:00 PM,0.01974,
1/9/2020 3:00:00 PM,0.01920,
1/9/2020 4:00:00 PM,0.01941,
1/9/2020 5:00:00 PM,0.02016,
1/9/2020 6:00:00 PM,0.02375,
1/9/2020 7:00:00 PM,0.02408,
1/9/2020 8:00:00 PM,0.02278,
1/9/2020 9:00:00 PM,0.02266,
1/9/2020 10:00:00 PM,0.02116,
1/9/2020 11:00:00 PM,0.01983,
1/10/2020 12:00:00 AM,0.01830,
1/10/2020 1:00:00 AM,0.01757,
1/10/2020 2:00:00 AM,0.01741,
1/10/2020 3:00:00 AM,0.01707,
1/10/2020 4:00:00 AM,0.01715,
1/10/2020 5:00:00 AM,0.01712,
1/10/2020 6:00:00 AM,0.01813,
1/10/2020 7:00:00 AM,0.02096,
1/10/2020 8:00:00 AM,0.02331,
1/10/2020 9:00:00 AM,0.02204,
1/10/2020 10:00:00 AM,0.02153,
1/10/2020 11:00:00 AM,0.02159,
1/10/2020 12:00:00 PM,0.02062,
1/10/2020 1:00:00 PM,0.01896,
1/10/2020 2:00:00 PM,0.01894,
1/10/2020 3:00:00 PM,0.01858,
1/10/2020 4:00:00 PM,0.01844,
1/10/2020 5:00:00 PM,0.01915,
1/10/2020 6:00:00 PM,0.02086,
1/10/2020 7:00:00 PM,0.02042,
1/10/2020 8:00:00 PM,0.01968,
1/10/2020 9:00:00 PM,0.01889,
1/10/2020 10:00:00 PM,0.01731,
1/10/2020 11:00:00 PM,0.01527,
1/11/2020 12:00:00 AM,0.01360,
1/11/2020 1:00:00 AM,0.01359,
1/11/2020 2:00:00 AM,0.01356,
1/11/2020 3:00:00 AM,0.01315,
1/11/2020 4:00:00 AM,0.01295,
1/11/2020 5:00:00 AM,0.01327,
